Name,MBID,URL,Image Small,Image
Federico Durand,8605672d-18f0-4453-8b5d-43c236527e17,https://www.last.fm/music/Federico+Durand,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Dual Sessions,24bf58d4-e2e7-4dae-b147-cf0b63f55423,https://www.last.fm/music/Dual+Sessions,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Shu-bi-dua,593a075e-b697-41c3-8cb5-3a8730958cfb,https://www.last.fm/music/Shu-bi-dua,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
artistName3,,,,
Bad Bunny,,https://www.last.fm/music/Bad+Bunny,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Beach Bunny,,https://www.last.fm/music/Beach+Bunny,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Echo & the Bunnymen,ccd4879c-5e88-4385-b131-bf65296bf245,https://www.last.fm/music/Echo+&+the+Bunnymen,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Bunny Wailer,d4ab32fd-e45d-44bf-9e70-891521672085,https://www.last.fm/music/Bunny+Wailer,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Pat The Bunny,1c455a45-2822-495a-a3df-e9e55d31f147,https://www.last.fm/music/Pat+The+Bunny,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
The Bunny the Bear,30181656-af83-4cde-a413-964235e27fd0,https://www.last.fm/music/The+Bunny+the+Bear,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
